COG ID,COG Name,COG Long Name,County,FIPS,County Name,County Long Name
2,South Plains,South Plains Association of Governments,Floyd (48153),48153,Floyd,Floyd County
3,Nortex,Nortex Regional Planning Commission,Foard (48155),48155,Foard,Foard County
4,North Central Texas,North Central Texas Council of Governments,Erath (48143),48143,Erath,Erath County
5,Ark-Tex,Ark-Tex Council of Governments,Hopkins (48223),48223,Hopkins,Hopkins County
6,East Texas,East Texas Council of Governments,Harrison (48203),48203,Harrison,Harrison County
7,West Central Texas,West Central Texas Council of Governments,Eastland (48133),48133,Eastland,Eastland County
8,Rio Grande,Rio Grande Council of Governments,Jeff Davis (48243),48243,Jeff Davis,Jeff Davis County
9,Permian Basin,Permian Basin Regional Planning Commission,Ector (48135),48135,Ector,Ector County
10,Concho Valley,Concho Valley Council of Governments,Kimble (48267),48267,Kimble,Kimble County
11,Heart of Texas,Heart of Texas Council of Governments,Limestone (48293),48293,Limestone,Limestone County
12,Capital Area,Capital Area Council of Governments,Fayette (48149),48149,Fayette,Fayette County
13,Brazos Valley,Brazos Valley Council of Governments,Madison (48313),48313,Madison,Madison County
14,Deep East Texas,Deep East Texas Council of Governments,Newton (48351),48351,Newton,Newton County
16,Houston-Galveston,Houston-Galveston Area Council,Fort Bend (48157),48157,Fort Bend,Fort Bend County
17,Golden Crescent,Golden Crescent Regional Planning Commission,Jackson (48239),48239,Jackson,Jackson County
18,Alamo Area,Alamo Area Council of Governments,Frio (48163),48163,Frio,Frio County
20,Coastal Bend,Coastal Bend Council of Governments,Jim Wells (48249),48249,Jim Wells,Jim Wells County
23,Central Texas,Central Texas Council of Governments,Milam (48331),48331,Milam,Milam County
24,Middle Rio Grande,Middle Rio Grande Development Council,Maverick (48323),48323,Maverick,Maverick County
1,Panhandle,Panhandle Regional Planning Commission,Collingsworth (48087),48087,Collingsworth,Collingsworth County
2,South Plains,South Plains Association of Governments,Garza (48169),48169,Garza,Garza County
3,Nortex,Nortex Regional Planning Commission,Hardeman (48197),48197,Hardeman,Hardeman County
4,North Central Texas,North Central Texas Council of Governments,Hood (48221),48221,Hood,Hood County
5,Ark-Tex,Ark-Tex Council of Governments,Lamar (48277),48277,Lamar,Lamar County
6,East Texas,East Texas Council of Governments,Henderson (48213),48213,Henderson,Henderson County
7,West Central Texas,West Central Texas Council of Governments,Fisher (48151),48151,Fisher,Fisher County
8,Rio Grande,Rio Grande Council of Governments,Presidio (48377),48377,Presidio,Presidio County
9,Permian Basin,Permian Basin Regional Planning Commission,Gaines (48165),48165,Gaines,Gaines County
10,Concho Valley,Concho Valley Council of Governments,Mason (48319),48319,Mason,Mason County
11,Heart of Texas,Heart of Texas Council of Governments,McLennan (48309),48309,McLennan,McLennan County
12,Capital Area,Capital Area Council of Governments,Hays (48209),48209,Hays,Hays County
13,Brazos Valley,Brazos Valley Council of Governments,Robertson (48395),48395,Robertson,Robertson County
14,Deep East Texas,Deep East Texas Council of Governments,Polk (48373),48373,Polk,Polk County
16,Houston-Galveston,Houston-Galveston Area Council,Galveston (48167),48167,Galveston,Galveston County
17,Golden Crescent,Golden Crescent Regional Planning Commission,Lavaca (48285),48285,Lavaca,Lavaca County
18,Alamo Area,Alamo Area Council of Governments,Gillespie (48171),48171,Gillespie,Gillespie County
20,Coastal Bend,Coastal Bend Council of Governments,Kenedy (48261),48261,Kenedy,Kenedy County
23,Central Texas,Central Texas Council of Governments,Mills (48333),48333,Mills,Mills County
24,Middle Rio Grande,Middle Rio Grande Development Council,Real (48385),48385,Real,Real County
1,Panhandle,Panhandle Regional Planning Commission,Dallam (48111),48111,Dallam,Dallam County
2,South Plains,South Plains Association of Governments,Hale (48189),48189,Hale,Hale County
3,Nortex,Nortex Regional Planning Commission,Jack (48237),48237,Jack,Jack County
4,North Central Texas,North Central Texas Council of Governments,Hunt (48231),48231,Hunt,Hunt County
5,Ark-Tex,Ark-Tex Council of Governments,Morris (48343),48343,Morris,Morris County
6,East Texas,East Texas Council of Governments,Marion (48315),48315,Marion,Marion County
7,West Central Texas,West Central Texas Council of Governments,Haskell (48207),48207,Haskell,Haskell County
9,Permian Basin,Permian Basin Regional Planning Commission,Glasscock (48173),48173,Glasscock,Glasscock County
10,Concho Valley,Concho Valley Council of Governments,McCulloch (48307),48307,McCulloch,McCulloch County
12,Capital Area,Capital Area Council of Governments,Lee (48287),48287,Lee,Lee County
13,Brazos Valley,Brazos Valley Council of Governments,Washington (48477),48477,Washington,Washington County
14,Deep East Texas,Deep East Texas Council of Governments,Sabine (48403),48403,Sabine,Sabine County
16,Houston-Galveston,Houston-Galveston Area Council,Harris (48201),48201,Harris,Harris County
17,Golden Crescent,Golden Crescent Regional Planning Commission,Victoria (48469),48469,Victoria,Victoria County
18,Alamo Area,Alamo Area Council of Governments,Guadalupe (48187),48187,Guadalupe,Guadalupe County
20,Coastal Bend,Coastal Bend Council of Governments,Kleberg (48273),48273,Kleberg,Kleberg County
23,Central Texas,Central Texas Council of Governments,San Saba (48411),48411,San Saba,San Saba County
24,Middle Rio Grande,Middle Rio Grande Development Council,Uvalde (48463),48463,Uvalde,Uvalde County
1,Panhandle,Panhandle Regional Planning Commission,Deaf Smith (48117),48117,Deaf Smith,Deaf Smith County
2,South Plains,South Plains Association of Governments,Hockley (48219),48219,Hockley,Hockley County
3,Nortex,Nortex Regional Planning Commission,Montague (48337),48337,Montague,Montague County
4,North Central Texas,North Central Texas Council of Governments,Johnson (48251),48251,Johnson,Johnson County
5,Ark-Tex,Ark-Tex Council of Governments,Red River (48387),48387,Red River,Red River County
6,East Texas,East Texas Council of Governments,Panola (48365),48365,Panola,Panola County
7,West Central Texas,West Central Texas Council of Governments,Jones (48253),48253,Jones,Jones County
9,Permian Basin,Permian Basin Regional Planning Commission,Howard (48227),48227,Howard,Howard County
10,Concho Valley,Concho Valley Council of Governments,Menard (48327),48327,Menard,Menard County
12,Capital Area,Capital Area Council of Governments,Llano (48299),48299,Llano,Llano County
14,Deep East Texas,Deep East Texas Council of Governments,San Augustine (48405),48405,San Augustine,San Augustine County
16,Houston-Galveston,Houston-Galveston Area Council,Liberty (48291),48291,Liberty,Liberty County
18,Alamo Area,Alamo Area Council of Governments,Karnes (48255),48255,Karnes,Karnes County
20,Coastal Bend,Coastal Bend Council of Governments,Live Oak (48297),48297,Live Oak,Live Oak County
24,Middle Rio Grande,Middle Rio Grande Development Council,Val Verde (48465),48465,Val Verde,Val Verde County
1,Panhandle,Panhandle Regional Planning Commission,Donley (48129),48129,Donley,Donley County
2,South Plains,South Plains Association of Governments,King (48269),48269,King,King County
3,Nortex,Nortex Regional Planning Commission,Wichita (48485),48485,Wichita,Wichita County
4,North Central Texas,North Central Texas Council of Governments,Kaufman (48257),48257,Kaufman,Kaufman County
5,Ark-Tex,Ark-Tex Council of Governments,Titus (48449),48449,Titus,Titus County
6,East Texas,East Texas Council of Governments,Rains (48379),48379,Rains,Rains County
7,West Central Texas,West Central Texas Council of Governments,Kent (48263),48263,Kent,Kent County
9,Permian Basin,Permian Basin Regional Planning Commission,Loving (48301),48301,Loving,Loving County
10,Concho Valley,Concho Valley Council of Governments,Reagan (48383),48383,Reagan,Reagan County
12,Capital Area,Capital Area Council of Governments,Travis (48453),48453,Travis,Travis County
14,Deep East Texas,Deep East Texas Council of Governments,San Jacinto (48407),48407,San Jacinto,San Jacinto County
16,Houston-Galveston,Houston-Galveston Area Council,Matagorda (48321),48321,Matagorda,Matagorda County
18,Alamo Area,Alamo Area Council of Governments,Kendall (48259),48259,Kendall,Kendall County
20,Coastal Bend,Coastal Bend Council of Governments,Nueces (48355),48355,Nueces,Nueces County
24,Middle Rio Grande,Middle Rio Grande Development Council,Zavala (48507),48507,Zavala,Zavala County
1,Panhandle,Panhandle Regional Planning Commission,Gray (48179),48179,Gray,Gray County
2,South Plains,South Plains Association of Governments,Lamb (48279),48279,Lamb,Lamb County
3,Nortex,Nortex Regional Planning Commission,Wilbarger (48487),48487,Wilbarger,Wilbarger County
4,North Central Texas,North Central Texas Council of Governments,Navarro (48349),48349,Navarro,Navarro County
6,East Texas,East Texas Council of Governments,Rusk (48401),48401,Rusk,Rusk County
7,West Central Texas,West Central Texas Council of Governments,Knox (48275),48275,Knox,Knox County
9,Permian Basin,Permian Basin Regional Planning Commission,Martin (48317),48317,Martin,Martin County
10,Concho Valley,Concho Valley Council of Governments,Schleicher (48413),48413,Schleicher,Schleicher County
12,Capital Area,Capital Area Council of Governments,Williamson (48491),48491,Williamson,Williamson County
14,Deep East Texas,Deep East Texas Council of Governments,Shelby (48419),48419,Shelby,Shelby County
16,Houston-Galveston,Houston-Galveston Area Council,Montgomery (48339),48339,Montgomery,Montgomery County
18,Alamo Area,Alamo Area Council of Governments,Kerr (48265),48265,Kerr,Kerr County
20,Coastal Bend,Coastal Bend Council of Governments,Refugio (48391),48391,Refugio,Refugio County
1,Panhandle,Panhandle Regional Planning Commission,Hall (48191),48191,Hall,Hall County
2,South Plains,South Plains Association of Governments,Lubbock (48303),48303,Lubbock,Lubbock County
3,Nortex,Nortex Regional Planning Commission,Young (48503),48503,Young,Young County
4,North Central Texas,North Central Texas Council of Governments,Palo Pinto (48363),48363,Palo Pinto,Palo Pinto County
6,East Texas,East Texas Council of Governments,Smith (48423),48423,Smith,Smith County
7,West Central Texas,West Central Texas Council of Governments,Mitchell (48335),48335,Mitchell,Mitchell County
9,Permian Basin,Permian Basin Regional Planning Commission,Midland (48329),48329,Midland,Midland County
10,Concho Valley,Concho Valley Council of Governments,Sterling (48431),48431,Sterling,Sterling County
14,Deep East Texas,Deep East Texas Council of Governments,Trinity (48455),48455,Trinity,Trinity County
16,Houston-Galveston,Houston-Galveston Area Council,Walker (48471),48471,Walker,Walker County
18,Alamo Area,Alamo Area Council of Governments,McMullen (48311),48311,McMullen,McMullen County
20,Coastal Bend,Coastal Bend Council of Governments,San Patricio (48409),48409,San Patricio,San Patricio County
1,Panhandle,Panhandle Regional Planning Commission,Hansford (48195),48195,Hansford,Hansford County
2,South Plains,South Plains Association of Governments,Lynn (48305),48305,Lynn,Lynn County
4,North Central Texas,North Central Texas Council of Governments,Parker (48367),48367,Parker,Parker County
6,East Texas,East Texas Council of Governments,Upshur (48459),48459,Upshur,Upshur County
7,West Central Texas,West Central Texas Council of Governments,Nolan (48353),48353,Nolan,Nolan County
9,Permian Basin,Permian Basin Regional Planning Commission,Pecos (48371),48371,Pecos,Pecos County
10,Concho Valley,Concho Valley Council of Governments,Sutton (48435),48435,Sutton,Sutton County
14,Deep East Texas,Deep East Texas Council of Governments,Tyler (48457),48457,Tyler,Tyler County
16,Houston-Galveston,Houston-Galveston Area Council,Waller (48473),48473,Waller,Waller County
18,Alamo Area,Alamo Area Council of Governments,Medina (48325),48325,Medina,Medina County
1,Panhandle,Panhandle Regional Planning Commission,Hartley (48205),48205,Hartley,Hartley County
2,South Plains,South Plains Association of Governments,Motley (48345),48345,Motley,Motley County
4,North Central Texas,North Central Texas Council of Governments,Rockwall (48397),48397,Rockwall,Rockwall County
6,East Texas,East Texas Council of Governments,Van Zandt (48467),48467,Van Zandt,Van Zandt County
7,West Central Texas,West Central Texas Council of Governments,Runnels (48399),48399,Runnels,Runnels County
9,Permian Basin,Permian Basin Regional Planning Commission,Reeves (48389),48389,Reeves,Reeves County
10,Concho Valley,Concho Valley Council of Governments,Tom Green (48451),48451,Tom Green,Tom Green County
16,Houston-Galveston,Houston-Galveston Area Council,Wharton (48481),48481,Wharton,Wharton County
18,Alamo Area,Alamo Area Council of Governments,Wilson (48493),48493,Wilson,Wilson County
1,Panhandle,Panhandle Regional Planning Commission,Hemphill (48211),48211,Hemphill,Hemphill County
2,South Plains,South Plains Association of Governments,Terry (48445),48445,Terry,Terry County
4,North Central Texas,North Central Texas Council of Governments,Somervell (48425),48425,Somervell,Somervell County
6,East Texas,East Texas Council of Governments,Wood (48499),48499,Wood,Wood County
7,West Central Texas,West Central Texas Council of Governments,Scurry (48415),48415,Scurry,Scurry County
9,Permian Basin,Permian Basin Regional Planning Commission,Terrell (48443),48443,Terrell,Terrell County
1,Panhandle,Panhandle Regional Planning Commission,Hutchinson (48233),48233,Hutchinson,Hutchinson County
2,South Plains,South Plains Association of Governments,Yoakum (48501),48501,Yoakum,Yoakum County
4,North Central Texas,North Central Texas Council of Governments,Tarrant (48439),48439,Tarrant,Tarrant County
7,West Central Texas,West Central Texas Council of Governments,Shackelford (48417),48417,Shackelford,Shackelford County
9,Permian Basin,Permian Basin Regional Planning Commission,Upton (48461),48461,Upton,Upton County
1,Panhandle,Panhandle Regional Planning Commission,Lipscomb (48295),48295,Lipscomb,Lipscomb County
4,North Central Texas,North Central Texas Council of Governments,Wise (48497),48497,Wise,Wise County
7,West Central Texas,West Central Texas Council of Governments,Stephens (48429),48429,Stephens,Stephens County
9,Permian Basin,Permian Basin Regional Planning Commission,Ward (48475),48475,Ward,Ward County
1,Panhandle,Panhandle Regional Planning Commission,Moore (48341),48341,Moore,Moore County
7,West Central Texas,West Central Texas Council of Governments,Stonewall (48433),48433,Stonewall,Stonewall County
9,Permian Basin,Permian Basin Regional Planning Commission,Winkler (48495),48495,Winkler,Winkler County
1,Panhandle,Panhandle Regional Planning Commission,Ochiltree (48357),48357,Ochiltree,Ochiltree County
7,West Central Texas,West Central Texas Council of Governments,Taylor (48441),48441,Taylor,Taylor County
1,Panhandle,Panhandle Regional Planning Commission,Oldham (48359),48359,Oldham,Oldham County
7,West Central Texas,West Central Texas Council of Governments,Throckmorton (48447),48447,Throckmorton,Throckmorton County
1,Panhandle,Panhandle Regional Planning Commission,Parmer (48369),48369,Parmer,Parmer County
1,Panhandle,Panhandle Regional Planning Commission,Potter (48375),48375,Potter,Potter County
1,Panhandle,Panhandle Regional Planning Commission,Randall (48381),48381,Randall,Randall County
1,Panhandle,Panhandle Regional Planning Commission,Roberts (48393),48393,Roberts,Roberts County
1,Panhandle,Panhandle Regional Planning Commission,Sherman (48421),48421,Sherman,Sherman County
1,Panhandle,Panhandle Regional Planning Commission,Swisher (48437),48437,Swisher,Swisher County
1,Panhandle,Panhandle Regional Planning Commission,Wheeler (48483),48483,Wheeler,Wheeler County
