	Site Name	Type	Billing Address	Billing City	Billing State/Province	Billing Zip/Postal Code	Grant	# Full Time Slots	# Three Quarter Time Slots	# Half Time Slots	# Reduced Half Time Slots	# Quarter-Time Slots	# Minimum Time Slots	# Abbreviated Time Slots	full_address
519	IDEA Walzem	Education-K thru 12	6445 Walzem Rd	San Antonio	TX	78239	21-22 Relay ACTX	2							6445 Walzem Rd, San Antonio, TX 78239
520	College Preparatory Mission	Education-K thru 12	1600 N Schuerbach Rd	Mission	TX	78572	21-22 Relay ACTX	2							1600 N Schuerbach Rd, Mission, TX 78572
521	College Prep-San Juan	Education-K thru 12	600 E Sioux Rd	San Juan	TX	78589	21-22 Relay ACTX	3							600 E Sioux Rd, San Juan, TX 78589
522	Corpus Christi College Prep HS	Education-K thru 12	4613 S Padre Island Dr	Corpus Christi	TX	78411	21-22 Relay ACTX	1							4613 S Padre Island Dr, Corpus Christi, TX 78411
523	Edgemere	Education-K thru 12	15101 Edgemere Blvd	El Paso	TX	79938	21-22 Relay ACTX	2							15101 Edgemere Blvd, El Paso, TX 79938
524	Edinburg	Education-K thru 12	2553 Roegiers Rd	Edinburg	TX	78541	21-22 Relay ACTX	4							2553 Roegiers Rd, Edinburg, TX 78541
525	Montopolis (Allan)	Education-K thru 12	1701 Vargas Rd	Austin	TX	78741	21-22 Relay ACTX	5							1701 Vargas Rd, Austin, TX 78741
526	Rio Vista	Education-K thru 12	210 N Rio Vista Rd	Socorro	TX	79927	21-22 Relay ACTX	4							210 N Rio Vista Rd, Socorro, TX 79927
527	Riverview	Education-K thru 12	30 Palm Blvd	Brownsville	TX	78520	21-22 Relay ACTX	2							30 Palm Blvd, Brownsville, TX 78520
528	San Benito	Education-K thru 12	2151 Russell Ln	San Benito	TX	78586	21-22 Relay ACTX	1							2151 Russell Ln, San Benito, TX 78586
529	Travis	Education-K thru 12	900 E Gist Ave	Midland	TX	79701	21-22 Relay ACTX	6							900 E Gist Ave, Midland, TX 79701
530	Unknown KIPP (San Antonio)	Education-K thru 12			TX		21-22 Relay ACTX	7							
531	Unknown IDEA (San Antonio)	Education-K thru 12			TX		21-22 Relay ACTX	3							
532	Weslaco	Education-K thru 12	2931 Sugar Cane Dr	Weslaco	TX	78599	21-22 Relay ACTX	1							2931 Sugar Cane Dr, Weslaco, TX 78599
533	Weslaco Pike College Preparatory	Education-K thru 12	1000 E Pike Blvd	Weslaco	TX	78596	21-22 Relay ACTX	2							1000 E Pike Blvd, Weslaco, TX 78596
534	Alief ISD	Education-K thru 12	4250 Cook Road 	Houston 	TX	77072	21-22 Sewa International ACTX		12.0						4250 Cook Road, Houston, TX 77072
535	Villa Madrid	Other	10202 Club Creek Drive 	Houston 	TX	77036	21-22 Sewa International ACTX			2					10202 Club Creek Drive, Houston, TX 77036
536	San Marcos	Other	6301 West Bellfort Avenue 	Houston 	TX	77035	21-22 Sewa International ACTX			2					6301 West Bellfort Avenue, Houston, TX 77035
537	Los Arcos	Other	11315 Fondren Road 	Houston 	TX	77035	21-22 Sewa International ACTX			2					11315 Fondren Road, Houston, TX 77035
538	Sewa International, Inc.	Nonprofit	1000 West Oaks Mall 	Houston 	TX	77082	21-22 Sewa International ACTX			9					1000 West Oaks Mall, Houston, TX 77082
539	Dallas ISD	Education-K thru 12	9400 N. Central Expressway	Dallas	TX	75231	21-22 Teach For America ACTX	111							9400 N. Central Expressway, Dallas, TX 75231
540	Fort Worth ISD	Education-K thru 12	100 N University Drive	Fort Worth	TX	76107	21-22 Teach For America ACTX	55							100 N University Drive, Fort Worth, TX 76107
541	KIPP DFW	Education-K thru 12	3200 S Lancaster Rd	Dallas	TX	75216	21-22 Teach For America ACTX	7							3200 S Lancaster Rd, Dallas, TX 75216
542	Uplift Education	Education-K thru 12	3000 Pegasus Park Dr.	Dallas	TX	75241	21-22 Teach For America ACTX	35							3000 Pegasus Park Dr., Dallas, TX 75241
543	IDEA Public Schools - Tarrant County	Education-K thru 12	600 Bryan Ave.	Fort Worth	TX	76104	21-22 Teach For America ACTX	12							600 Bryan Ave., Fort Worth, TX 76104
544	Richardson ISD	Education-K thru 12	400 S. Greenville Ave.	Richardson	TX	75081	21-22 Teach For America ACTX	17							400 S. Greenville Ave., Richardson, TX 75081
545	KIPP Houston Public Schools	Education-K thru 12	10711 Kipp Way	Houston	TX	77099	21-22 Teach For America ACTX	42							10711 Kipp Way, Houston, TX 77099
546	Houston Independent School District	Education-K thru 12	4400 West 18th St.	Houston	TX	77092	21-22 Teach For America ACTX	80							4400 West 18th St., Houston, TX 77092
547	BakerRipley	Education-K thru 12	4500 Bissonnet St.	Bellaire	TX	77401	21-22 Teach For America ACTX	5							4500 Bissonnet St., Bellaire, TX 77401
548	YES Prep Public Schools	Education-K thru 12	5515 South Loop East	Houston	TX	77033	21-22 Teach For America ACTX	38							5515 South Loop East, Houston, TX 77033
549	Aldine ISD	Education-K thru 12	2520 W.W. Thorne Blvd.	Houston	TX	77073	21-22 Teach For America ACTX	64							2520 W.W. Thorne Blvd., Houston, TX 77073
550	Harlingen CISD	Education-K thru 12	407 North Sunshine Strip	Harlingen	TX	78550	21-22 Teach For America ACTX	6							407 North Sunshine Strip, Harlingen, TX 78550
551	IDEA Public Schools- Rio Grande Valley	Education-K thru 12	2115 W. Pike	Weslaco	TX	78596	21-22 Teach For America ACTX	20							2115 W. Pike, Weslaco, TX 78596
552	Pharr-San Juan-Alamo ISD	Education-K thru 12	601 East Kelly	Pharr	TX	78577	21-22 Teach For America ACTX	10							601 East Kelly, Pharr, TX 78577
553	Donna ISD	Education-K thru 12	116 N. 10th St.	Donna	TX	78537	21-22 Teach For America ACTX	11							116 N. 10th St., Donna, TX 78537
554	Point Isabel ISD	Education-K thru 12	101 Port Road	Port Isabel	TX	78578	21-22 Teach For America ACTX	2							101 Port Road, Port Isabel, TX 78578
555	Vanguard Academy	Education-K thru 12	1200 E. Kelly	Pharr	TX	78577	21-22 Teach For America ACTX	2							1200 E. Kelly, Pharr, TX 78577
556	San Benito CISD	Education-K thru 12	240 N. Crockett St.	San Benito	TX	78586	21-22 Teach For America ACTX	2							240 N. Crockett St., San Benito, TX 78586
557	Edgewood ISD	Education-K thru 12	5358 W Commerce Street	San Antonio	TX	78237	21-22 Teach For America ACTX	7							5358 W Commerce Street, San Antonio, TX 78237
558	San Antonio ISD	Education-K thru 12	141 Lavaca St	San Antonio	TX	78210	21-22 Teach For America ACTX	85							141 Lavaca St, San Antonio, TX 78210
559	KIPP San Antonio	Education-K thru 12	731 Fredericksburg Rd	San Antonio	TX	78201	21-22 Teach For America ACTX	21							731 Fredericksburg Rd, San Antonio, TX 78201
560	IDEA Public Schools- San Antonio	Education-K thru 12	217 Robinson Pl	San Antonio	TX	78202	21-22 Teach For America ACTX	7							217 Robinson Pl, San Antonio, TX 78202
561	Compass Rose	Education-K thru 12	8005 Outer Circle Rd	San Antonio	TX	78234	21-22 Teach For America ACTX	7							8005 Outer Circle Rd, San Antonio, TX 78234
562	PreK4SA	Education-K thru 12	7031 S New Braunfels Ave.	San Antonio	TX	78223	21-22 Teach For America ACTX	4							7031 S New Braunfels Ave., San Antonio, TX 78223
563	Communities in Schools (CIS) Coastal Bend	Nonprofit	"5241 Kentner St
"	 Corpus Christi	TX	78412	21-22 Texas Network of Youth Services ACTX	2							5241 Kentner St, Corpus Christi, TX 78412
564	Connections Individual and Family Services (IFS)	Nonprofit	"1414 W. San Antonio Street
"	New Braunfels	TX	78130	21-22 Texas Network of Youth Services ACTX	1							1414 W. San Antonio Street, New Braunfels, TX 78130
565	El Paso Center For Children	Nonprofit		El Paso	TX	79930	21-22 Texas Network of Youth Services ACTX	1							
566	Harris County Resources - Youth Services Division	Education-College/University	6300 Chimney Rock Rd	Houston	TX	77081	21-22 Texas Network of Youth Services ACTX	2							6300 Chimney Rock Rd, Houston, TX 77081
567	Harris County Resources - Houston Alumni and Youth Center (HAY Center)	Education-College/University	1216 West Clay	Houston	TX	77019	21-22 Texas Network of Youth Services ACTX	2							1216 West Clay, Houston, TX 77019
568	Jonathan's Place	Nonprofit	"6065 Duck Creek Dr
"	Garland	TX	75043	21-22 Texas Network of Youth Services ACTX	1							6065 Duck Creek Dr, Garland, TX 75043
569	Parks Youth Ranch	Nonprofit	11614 FM 361 Rd	Richmond	TX	77469	21-22 Texas Network of Youth Services ACTX	1							11614 FM 361 Rd, Richmond, TX 77469
570	Promise House	Nonprofit	"4212 E. Grand Ave.
"	Dallas	TX	75223	21-22 Texas Network of Youth Services ACTX	1							4212 E. Grand Ave., Dallas, TX 75223
571	Texas Network of Youth Services	Nonprofit	7703 N Lamar Blvd 	Austin	TX	78752	21-22 Texas Network of Youth Services ACTX	1							7703 N Lamar Blvd, Austin, TX 78752
572	Allison Elementary School	Education-K thru 12	515 Vargas Rd	 Austin	TX	78741-2455	21-22 Travis County 4-H CAPITAL ACTX	1	1.0						515 Vargas Rd, Austin, TX 78741-2455
573	Baty Elementary School	Education-K thru 12	2101 Faro Dr	 Austin	TX	78741-3361	21-22 Travis County 4-H CAPITAL ACTX	1							2101 Faro Dr, Austin, TX 78741-3361
574	Bedichek Middle School	Education-K thru 12	6800 Bill Hughes Rd	Austin	TX	78745-5605	21-22 Travis County 4-H CAPITAL ACTX		2.0						6800 Bill Hughes Rd, Austin, TX 78745-5605
575	Brown Elementary School	Education-K thru 12	400 Cooper Dr	 Austin	TX	78753-5030	21-22 Travis County 4-H CAPITAL ACTX	1	1.0						400 Cooper Dr, Austin, TX 78753-5030
576	Creedmoor Elementary School	Education-K thru 12	5604 FM 1327	Creedmoor	TX	78610-2039	21-22 Travis County 4-H CAPITAL ACTX	1							5604 FM 1327, Creedmoor, TX 78610-2039
577	Harris Elementary School	Education-K thru 12	1711 Wheless Ln	 Austin	TX	78723-1910	21-22 Travis County 4-H CAPITAL ACTX	1							1711 Wheless Ln, Austin, TX 78723-1910
578	Hillcrest Elementary School	Education-K thru 12	6910 E William Cannon Dr	 Austin	TX	78744-8312	21-22 Travis County 4-H CAPITAL ACTX	1	1.0						6910 E William Cannon Dr, Austin, TX 78744-8312
579	Hornsby-Dunlap Elementary School	Education-K thru 12	13901 FM 969	Austin	TX	78724-6345	21-22 Travis County 4-H CAPITAL ACTX	1							13901 FM 969, Austin, TX 78724-6345
580	Houston Elementary School	Education-K thru 12	5409 Ponciana Dr	 Austin	TX	78744-2838	21-22 Travis County 4-H CAPITAL ACTX	1	1.0						5409 Ponciana Dr, Austin, TX 78744-2838
581	Langford Elementary School 	Education-K thru 12	2206 Blue Meadow Dr. 	 Austin	TX	78744	21-22 Travis County 4-H CAPITAL ACTX	1							2206 Blue Meadow Dr., Austin, TX 78744
582	Newton-Collins Elementary School	Education-K thru 12	8100 Colton-Bluff Springs Rd	 Austin	TX	78744	21-22 Travis County 4-H CAPITAL ACTX	1							8100 Colton-Bluff Springs Rd, Austin, TX 78744
583	Oak Springs Elementary School	Education-K thru 12	3601 Webberville Rd	Austin	TX	78702-3008	21-22 Travis County 4-H CAPITAL ACTX	1							3601 Webberville Rd, Austin, TX 78702-3008
584	Ortega Elementary School	Education-K thru 12	1135 Garland Ave	 Austin	TX	78721-2625	21-22 Travis County 4-H CAPITAL ACTX	1	1.0						1135 Garland Ave, Austin, TX 78721-2625
585	Del Valle Elementary School 	Education-K thru 12	5400 Ross Rd. 	Del Valle	TX	78617	21-22 Travis County 4-H CAPITAL ACTX		2.0						5400 Ross Rd., Del Valle, TX 78617
586	Pecan Springs Elementary School	Education-K thru 12	3100 Rogge Ln	 Austin	TX	78723-4831	21-22 Travis County 4-H CAPITAL ACTX	1	1.0						3100 Rogge Ln, Austin, TX 78723-4831
587	Perez Elementary School	Education-K thru 12	7500 S Pleasant Valley Rd	 Austin	TX	78744-6412	21-22 Travis County 4-H CAPITAL ACTX	1	1.0						7500 S Pleasant Valley Rd, Austin, TX 78744-6412
588	Popham Elementary School	Education-K thru 12	7014 Elroy Rd	 Del Valle	TX	78617-3505	21-22 Travis County 4-H CAPITAL ACTX	1							7014 Elroy Rd, Del Valle, TX 78617-3505
589	Rodriguez Elementary School	Education-K thru 12	4400 Franklin Park Dr.	Austin	TX	78744-2929	21-22 Travis County 4-H CAPITAL ACTX	1							4400 Franklin Park Dr., Austin, TX 78744-2929
590	Smith Elementary School	Education-K thru 12	4209 Smith School Rd	Austin	TX	78744-3217	21-22 Travis County 4-H CAPITAL ACTX	1							4209 Smith School Rd, Austin, TX 78744-3217
591	Widen Elementary School	Education-K thru 12	5605 Nuckols Crossing Rd	 Austin	TX	78744-4615	21-22 Travis County 4-H CAPITAL ACTX	1							5605 Nuckols Crossing Rd, Austin, TX 78744-4615
592	Wooten Elementary School School	Education-K thru 12	1406 Dale Dr	 Austin	TX	78757-8310	21-22 Travis County 4-H CAPITAL ACTX	1	1.0						1406 Dale Dr, Austin, TX 78757-8310
593	Texas A&M AgriLife Extension	Education-K thru 12	1600B Smith Rd	Austin	TX	78721-3541	21-22 Travis County 4-H CAPITAL ACTX	4							1600B Smith Rd, Austin, TX 78721-3541
594	Dallas Independent School District	Education-K thru 12	9400 N. Central Expressway	Dallas 	TX	75231	21-22 University of North Texas HIPPY ACTX			14					9400 N. Central Expressway, Dallas, TX 75231
595	Houston Independent School District	Education-K thru 12	4400 West 18th Street 	Houston 	TX	77092	21-22 University of North Texas HIPPY ACTX			24					4400 West 18th Street, Houston, TX 77092
596	Irving Independent School District	Education-K thru 12	820 N O'Connor	Irving 	TX	75061	21-22 University of North Texas HIPPY ACTX			24					820 N O'Connor, Irving, TX 75061
597	Education Service Center, Region 2	Nonprofit	209 N. Water St.	Corpus Christi	TX	78401	21-22 University of North Texas HIPPY ACTX			10					209 N. Water St., Corpus Christi, TX 78401
598	Madonna Neighborhood Center	Nonprofit	1906 Castroville Road	San Antonio 	TX	78237	21-22 University of North Texas HIPPY ACTX			5					1906 Castroville Road, San Antonio, TX 78237
599	Wellness Pointe	Nonprofit	1107 E. Marshall Ave. 	Longview 	TX	75601	21-22 University of North Texas HIPPY ACTX			4					1107 E. Marshall Ave., Longview, TX 75601
600	UTPB	Education-College/University	4901 E University 	Odessa 	TX	79762	21-22 University of North Texas HIPPY ACTX			9					4901 E University, Odessa, TX 79762
601	Easter Seals - Rio Grande Valley	Nonprofit	1217 W. Houston Ave. 	McAllen	TX	78501	21-22 University of North Texas HIPPY ACTX			5					1217 W. Houston Ave., McAllen, TX 78501
602	North Texas Area United Way	Nonprofit	1105 Holliday 	Wichita Falls 	TX	76301	21-22 University of North Texas HIPPY ACTX			8					1105 Holliday, Wichita Falls, TX 76301
603	Richardson Independent School District	Education-K thru 12	14040 Rolling Hills Lane 	Richardson 	TX	75240	21-22 University of North Texas HIPPY ACTX			1					14040 Rolling Hills Lane, Richardson, TX 75240
604	Coalition of Health Services	Nonprofit	301 S. Polk Ste. 740	Amarillo 	TX	791010	21-22 University of North Texas HIPPY ACTX			6					301 S. Polk Ste. 740, Amarillo, TX 791010
605	Allison Elementary School	Education-K thru 12	515 Vargas Rd	Austin	TX	78741-2455	21-22 Literacy First ACTX		4.0						515 Vargas Rd, Austin, TX 78741-2455
606	Andrews Elementary School	Education-K thru 12	6801 Northeast Dr	Austin	TX	78723-2130	21-22 Literacy First ACTX		4.0	0					6801 Northeast Dr, Austin, TX 78723-2130
607	Cook Elementary School	Education-K thru 12	1511 Cripple Creek	Austin	TX	78758-5053	21-22 Literacy First ACTX		3.0						1511 Cripple Creek, Austin, TX 78758-5053
608	Govalle Elementary School	Education-K thru 12	3601 Govalle Ave	Austin	TX	78702-3715	21-22 Literacy First ACTX		4.0						3601 Govalle Ave, Austin, TX 78702-3715
609	Harris Elementary School	Education-K thru 12	1711 Wheless Ln	Austin	TX	78723-1998	21-22 Literacy First ACTX		3.0						1711 Wheless Ln, Austin, TX 78723-1998
610	Houston Elementary School	Education-K thru 12	5409 Ponciana Dr	Austin	TX	78744-2838	21-22 Literacy First ACTX		3.0						5409 Ponciana Dr, Austin, TX 78744-2838
611	Langford Elementary School	Education-K thru 12	2206 Blue Meadow Dr	Austin	TX	78744-5016	21-22 Literacy First ACTX		3.0						2206 Blue Meadow Dr, Austin, TX 78744-5016
612	Linder Elementary School	Education-K thru 12	2800 Metcalfe Rd	Austin	TX	78741-5633	21-22 Literacy First ACTX		4.0						2800 Metcalfe Rd, Austin, TX 78741-5633
613	Oak Springs Elementary School	Education-K thru 12	3601 Webberville Rd	Austin	TX	78702-3099	21-22 Literacy First ACTX		2.0	1					3601 Webberville Rd, Austin, TX 78702-3099
614	Ortega Elementary School	Education-K thru 12	1135 Garland Ave	Austin	TX	78721-2699	21-22 Literacy First ACTX		0.0	2					1135 Garland Ave, Austin, TX 78721-2699
615	Perez Elementary School	Education-K thru 12	7500 S. Pleasant Valley Rd	Austin	TX	78744-6412	21-22 Literacy First ACTX		4.0						7500 S. Pleasant Valley Rd, Austin, TX 78744-6412
616	Sanchez Elementary School	Education-K thru 12	73 San Marcos St	Austin	TX	78702-5237	21-22 Literacy First ACTX		3.0	1					73 San Marcos St, Austin, TX 78702-5237
617	Walnut Creek Elementary School	Education-K thru 12	401 West Braker Ln	Austin	TX	78753-3038	21-22 Literacy First ACTX		4.0						401 West Braker Ln, Austin, TX 78753-3038
618	Widen Elementary School	Education-K thru 12	5605 Nuckols Crossing Rd	Austin	TX	78744-4615	21-22 Literacy First ACTX		4.0						5605 Nuckols Crossing Rd, Austin, TX 78744-4615
619	Wooldridge Elementary School	Education-K thru 12	1412 Norseman Ter	Austin	TX	78758-6529	21-22 Literacy First ACTX		4.0						1412 Norseman Ter, Austin, TX 78758-6529
620	Wooten Elementary School	Education-K thru 12	1406 Dale Dr	Austin	TX	78757-8310	21-22 Literacy First ACTX		3.0						1406 Dale Dr, Austin, TX 78757-8310
621	Zavala Elementary School	Education-K thru 12	310 Robert Martinez Jr St	Austin	TX	78702-4536	21-22 Literacy First ACTX		1.0	1					310 Robert Martinez Jr St, Austin, TX 78702-4536
622	Austin Achieve Elementary School	Education-K thru 12	5908 Manor Rd	Austin	TX	78723-0000	21-22 Literacy First ACTX		8.0						5908 Manor Rd, Austin, TX 78723-0000
623	Wayside Schools Real Learning Academy	Education-K thru 12	6405 S. Ih 35	Austin	TX	78744-3401	21-22 Literacy First ACTX		4.0						6405 S. Ih 35, Austin, TX 78744-3401
624	Wayside Schools Altamira	Education-K thru 12	10704 Bradshaw Rd	Austin	TX	78747-7800	21-22 Literacy First ACTX		4.0						10704 Bradshaw Rd, Austin, TX 78747-7800
625	Wayside Schools Eden Park	Education-K thru 12	6215 Menchaca Rd	Austin	TX	78745-4927	21-22 Literacy First ACTX		2.0	0					6215 Menchaca Rd, Austin, TX 78745-4927
626	UT Austin Dana Center	Education-College/University	3925 W Braker La	Austin	TX	78759-5371	21-22 Literacy First ACTX	4							3925 W Braker La, Austin, TX 78759-5371
627	Hanna High School	Education-K thru 12	2615 Price Rd	Brownsville	TX	78521	21-22 UTRGV ACTX					12			2615 Price Rd, Brownsville, TX 78521
628	Veterans High School	Education-K thru 12	4550 Us Military Hwy 281	Brownsville	TX	78520	21-22 UTRGV ACTX					12			4550 Us Military Hwy 281, Brownsville, TX 78520
629	Lopez High School	Education-K thru 12	3205 South Dakota Avenue	Brownsville	TX	78521	21-22 UTRGV ACTX					12			3205 South Dakota Avenue, Brownsville, TX 78521
630	Pace High School	Education-K thru 12	314 W Los Ebanos Blvd	Brownsville	TX	78520	21-22 UTRGV ACTX					12			314 W Los Ebanos Blvd, Brownsville, TX 78520
631	Porter High School	Education-K thru 12	3500 International Blvd	Brownsville	TX	78521	21-22 UTRGV ACTX					14			3500 International Blvd, Brownsville, TX 78521
632	Rivera High School	Education-K thru 12	6955 FM 802	Brownsville	TX	78521	21-22 UTRGV ACTX					10			6955 FM 802, Brownsville, TX 78521
633	Brownsville Learning Academy	Education-K thru 12	4350 Morrison Rd	Brownsville	TX	78526	21-22 UTRGV ACTX					2			4350 Morrison Rd, Brownsville, TX 78526
634	Lincoln Park	Education-K thru 12	7 Orange Street	Brownsville	TX	78521	21-22 UTRGV ACTX					2			7 Orange Street, Brownsville, TX 78521
635	Brownsville Early College Campus	Education-K thru 12	343 Ringgold Rd	Brownsville	TX	78520	21-22 UTRGV ACTX					4			343 Ringgold Rd, Brownsville, TX 78520
636	San Benito High School	Education-K thru 12	450 S Oscar Williams Rd	San Benito	TX	78586	21-22 UTRGV ACTX					10			450 S Oscar Williams Rd, San Benito, TX 78586
637	Edinburg High School	Education-K thru 12	2600 E Wisconsin Rd	Edinburg	TX	78542	21-22 UTRGV ACTX					12			2600 E Wisconsin Rd, Edinburg, TX 78542
638	Edinburg North High School	Education-K thru 12	3101 N Closener Blvd	Edinburg	TX	78541	21-22 UTRGV ACTX					14			3101 N Closener Blvd, Edinburg, TX 78541
639	Economedes High School	Education-K thru 12	1414 N Alamo Rd	Edinburg	TX	78542	21-22 UTRGV ACTX					12			1414 N Alamo Rd, Edinburg, TX 78542
640	Vela High School	Education-K thru 12	801 Canton Rd.	Edinburg	TX	78539	21-22 UTRGV ACTX					10			801 Canton Rd., Edinburg, TX 78539
641	McAllen High School	Education-K thru 12	2021 La Vista Ave	McAllen	TX	78501	21-22 UTRGV ACTX					12			2021 La Vista Ave, McAllen, TX 78501
642	Memorial High School	Education-K thru 12	101 E Hackberry Ave	McAllen	TX	78501	21-22 UTRGV ACTX					12			101 E Hackberry Ave, McAllen, TX 78501
643	Rowe High School	Education-K thru 12	2101 N Ware Rd	McAllen	TX	78501	21-22 UTRGV ACTX					14			2101 N Ware Rd, McAllen, TX 78501
644	Achieve Early College Campus	Education-K thru 12	2000 N 23Rd St	McAllen	TX	78501	21-22 UTRGV ACTX					2			2000 N 23Rd St, McAllen, TX 78501
645	Lamar Academy	Education-K thru 12	1009 N 10th St	McAllen	TX	78501	21-22 UTRGV ACTX					2			1009 N 10th St, McAllen, TX 78501
646	Bowling Family YMCA	Nonprofit	5509 Will Ruth Ave	El Paso	TX	79924-5433	21-22 United Way of El Paso ACTX	3							5509 Will Ruth Ave, El Paso, TX 79924-5433
647	Canutillo ISD	Education-K thru 12	7000 5th Street	El Paso	TX	79932-1069	21-22 United Way of El Paso ACTX	3							7000 5th Street, El Paso, TX 79932-1069
648	El Paso Housing Authority - Fabens	Nonprofit	650 Ne G Avenue	Fabens	TX	79938-0001	21-22 United Way of El Paso ACTX	2							650 Ne G Avenue, Fabens, TX 79938-0001
649	Fred & Maria Loya Family YMCA	Nonprofit	2044 Trawood Dr	El Paso	TX	79935-3503	21-22 United Way of El Paso ACTX	3							2044 Trawood Dr, El Paso, TX 79935-3503
650	Project Vida	Nonprofit	3612 Pera Ave	El Paso	TX	79905-2412	21-22 United Way of El Paso ACTX	3							3612 Pera Ave, El Paso, TX 79905-2412
651	Westside Family YMCA	Nonprofit	7145 N Mesa St	El Paso	TX	79912-3650	21-22 United Way of El Paso ACTX	3							7145 N Mesa St, El Paso, TX 79912-3650
652	YMCA of El Paso Metropolitan Offices	Nonprofit	810 Wyoming Ave	El Paso	TX	79901-5340	21-22 United Way of El Paso ACTX	3							810 Wyoming Ave, El Paso, TX 79901-5340
653	West Texas A&M University	Education-College/University	2501 4th Avenue	Canyon	TX	79016-0001	21-22 West Texas A&M University ACTX	1		 		15	10		2501 4th Avenue, Canyon, TX 79016-0001
654	Frank Phillips Community College	Education-College/University	1301 Roosevelt St 	Borger	TX	79007	21-22 West Texas A&M University ACTX			 	1.0	3	2		1301 Roosevelt St, Borger, TX 79007
655	Amarillo College	Education-College/University	2201 S Washington St #2411 	Amarillo	TX	79109	21-22 West Texas A&M University ACTX	 		 		5			2201 S Washington St #2411, Amarillo, TX 79109
656	Clarendon College	Education-College/University	1122 College Dr	Clarendon	TX	79226	21-22 West Texas A&M University ACTX			 		2	2		1122 College Dr, Clarendon, TX 79226
657	No Limits No Excuses/Amarillo Area Foundation	Nonprofit	801 S. Fillmore	Amarillo	TX	79101	21-22 West Texas A&M University ACTX	1		 		1			801 S. Fillmore, Amarillo, TX 79101
658	Borger high School	Education-K thru 12	600 West First Street	Borger	TX	79007	21-22 West Texas A&M University ACTX	 		 		 	1		600 West First Street, Borger, TX 79007
659	Perryton High School	Education-K thru 12	1200 S Jefferson St	Perryton	TX	79070	21-22 West Texas A&M University ACTX			 		 	1		1200 S Jefferson St, Perryton, TX 79070
660	Spearman High School	Education-K thru 12	403 E 11th Ave	Spearman	TX	79081	21-22 West Texas A&M University ACTX			 		 	1		403 E 11th Ave, Spearman, TX 79081
661	Canadian/Higgins High School	Education-K thru 12	621 S 5th St	Canadian	TX	79014	21-22 West Texas A&M University ACTX	 		 		1			621 S 5th St, Canadian, TX 79014
662	Dalhart High School	Education-K thru 12	2100 Spirit Trail	Dalhart	TX	79022	21-22 West Texas A&M University ACTX			 		 	1		2100 Spirit Trail, Dalhart, TX 79022
663	Pampa High School	Education-K thru 12	111 E Harvester Ave	Pampa	TX	79065	21-22 West Texas A&M University ACTX	 		 	1.0	1			111 E Harvester Ave, Pampa, TX 79065
664	The Well	Nonprofit	1203 N Hobart St #37	Pampa	TX	79065	21-22 West Texas A&M University ACTX			 		1			1203 N Hobart St #37, Pampa, TX 79065
665	Wheeler High School	Education-K thru 12	1 Mustang Drive	Wheeler	TX	79096-1010	21-22 West Texas A&M University ACTX					 	1		1 Mustang Drive, Wheeler, TX 79096-1010
666	Claude High School	Education-K thru 12	500 5th St	Claude	TX	79019	21-22 West Texas A&M University ACTX					 	1		500 5th St, Claude, TX 79019
667	Shamrock High School	Education-K thru 12	100 S Illinois St	Shamrock	TX	79079	21-22 West Texas A&M University ACTX					 	1		100 S Illinois St, Shamrock, TX 79079
668	Childress High School	Education-K thru 12	800 Ave J NW	Childress	TX	79201	21-22 West Texas A&M University ACTX					 	1		800 Ave J NW, Childress, TX 79201
669	Valley School (Turkey-Quitaque)	Education-K thru 12	11826 Hwy 86	Turkey	TX	79261	21-22 West Texas A&M University ACTX					 	0.5		11826 Hwy 86, Turkey, TX 79261
670	Silverton School	Education-K thru 12	700 Loretta St, Silverton	Silverton	TX	79257	21-22 West Texas A&M University ACTX					 	0.5		700 Loretta St, Silverton, Silverton, TX 79257
671	Hereford High School	Education-K thru 12	200 Ave F	Hereford	TX	79045	21-22 West Texas A&M University ACTX	 		 	1.0	1			200 Ave F, Hereford, TX 79045
672	Friona High School	Education-K thru 12	810 W 7th St	Friona	TX	79035	21-22 West Texas A&M University ACTX					1	 		810 W 7th St, Friona, TX 79035
673	Highland Park High School	Education-K thru 12	15300 E Amarillo Blvd	Amarillo	TX	79108	21-22 West Texas A&M University ACTX					 	1		15300 E Amarillo Blvd, Amarillo, TX 79108
674	River Road High School	Education-K thru 12	101 W Mobley St,	Amarillo	TX	79108	21-22 West Texas A&M University ACTX			 		 	1		101 W Mobley St,, Amarillo, TX 79108
675	Boys Ranch High School	Education-K thru 12	27 Julian Bivins Ave	Cal Farley's Boys Ranch	TX	79010	21-22 West Texas A&M University ACTX					 	1		27 Julian Bivins Ave, Cal Farley's Boys Ranch, TX 79010
676	Dumas High School	Education-K thru 12	411 Miller Ave	Dumas	TX	79029	21-22 West Texas A&M University ACTX			 		 	1		411 Miller Ave, Dumas, TX 79029
677	Sunray High School	Education-K thru 12	900 Ave Q	Sunray	TX	79086	21-22 West Texas A&M University ACTX					 	1		900 Ave Q, Sunray, TX 79086
678	Canyon High School	Education-K thru 12	1701 23rd St	Canyon	TX	79015	21-22 West Texas A&M University ACTX					1	1		1701 23rd St, Canyon, TX 79015
679	Randall High School	Education-K thru 12	5800 Attebury Dr	Canyon	TX	79118	21-22 West Texas A&M University ACTX	 			1.0	1			5800 Attebury Dr, Canyon, TX 79118
