District,Rep_lastName,Rep_firstName,Rep_middleName,Rep_homepage_url,Rep_photo_url
76,Ordaz,"Perez,",Claudia,https://house.texas.gov/members/member-page/?district=76,https://house.texas.gov/photos/members/4015.jpg?v=01
77,Ortega,Evelina,"""Lina""",https://house.texas.gov/members/member-page/?district=77,https://house.texas.gov/photos/members/3545.jpg?v=01
78,Moody,Joe,,https://house.texas.gov/members/member-page/?district=78,https://house.texas.gov/photos/members/3850.jpg?v=01
79,Fierro,Art,,https://house.texas.gov/members/member-page/?district=79,https://house.texas.gov/photos/members/3725.jpg?v=01
80,King,Tracy,O.,https://house.texas.gov/members/member-page/?district=80,https://house.texas.gov/photos/members/3465.jpg?v=01
81,Landgraf,Brooks,,https://house.texas.gov/members/member-page/?district=81,https://house.texas.gov/photos/members/3040.jpg?v=01
82,Craddick,Tom,,https://house.texas.gov/members/member-page/?district=82,https://house.texas.gov/photos/members/2610.jpg?v=01
83,Burrows,Dustin,,https://house.texas.gov/members/member-page/?district=83,https://house.texas.gov/photos/members/3055.jpg?v=01
84,Frullo,John,,https://house.texas.gov/members/member-page/?district=84,https://house.texas.gov/photos/members/2005.jpg?v=01
85,Stephenson,Phil,,https://house.texas.gov/members/member-page/?district=85,https://house.texas.gov/photos/members/2755.jpg?v=01
86,Smithee,John,T.,https://house.texas.gov/members/member-page/?district=86,https://house.texas.gov/photos/members/4530.jpg?v=01
87,Price,Four,,https://house.texas.gov/members/member-page/?district=87,https://house.texas.gov/photos/members/2185.jpg?v=01
88,King,Ken,,https://house.texas.gov/members/member-page/?district=88,https://house.texas.gov/photos/members/2455.jpg?v=01
89,Noble,Candy,,https://house.texas.gov/members/member-page/?district=89,https://house.texas.gov/photos/members/3740.jpg?v=01
90,Romero,"Jr.,",Ramon,https://house.texas.gov/members/member-page/?district=90,https://house.texas.gov/photos/members/3060.jpg?v=01
91,Klick,Stephanie,,https://house.texas.gov/members/member-page/?district=91,https://house.texas.gov/photos/members/2460.jpg?v=01
92,Cason,Jeff,,https://house.texas.gov/members/member-page/?district=92,https://house.texas.gov/photos/members/3955.jpg?v=01
93,Krause,Matt,,https://house.texas.gov/members/member-page/?district=93,https://house.texas.gov/photos/members/2465.jpg?v=01
94,Tinderholt,Tony,,https://house.texas.gov/members/member-page/?district=94,https://house.texas.gov/photos/members/3065.jpg?v=01
95,Collier,Nicole,,https://house.texas.gov/members/member-page/?district=95,https://house.texas.gov/photos/members/2360.jpg?v=01
96,Cook,David,,https://house.texas.gov/members/member-page/?district=96,https://house.texas.gov/photos/members/3960.jpg?v=01
97,Goldman,Craig,,https://house.texas.gov/members/member-page/?district=97,https://house.texas.gov/photos/members/2395.jpg?v=01
98,Capriglione,Giovanni,,https://house.texas.gov/members/member-page/?district=98,https://house.texas.gov/photos/members/2345.jpg?v=01
99,Geren,Charlie,,https://house.texas.gov/members/member-page/?district=99,https://house.texas.gov/photos/members/2945.jpg?v=01
100,Crockett,Jasmine,,https://house.texas.gov/members/member-page/?district=100,https://house.texas.gov/photos/members/3965.jpg?v=01
101,Turner,Chris,,https://house.texas.gov/members/member-page/?district=101,https://house.texas.gov/photos/members/4680.jpg?v=01
102,Ramos,Ana-Maria,,https://house.texas.gov/members/member-page/?district=102,https://house.texas.gov/photos/members/3735.jpg?v=01
103,Anchía,Rafael,,https://house.texas.gov/members/member-page/?district=103,https://house.texas.gov/photos/members/2150.jpg?v=01
104,González,Jessica,,https://house.texas.gov/members/member-page/?district=104,https://house.texas.gov/photos/members/3335.jpg?v=01
105,Meza,Thresa,"""Terry""",https://house.texas.gov/members/member-page/?district=105,https://house.texas.gov/photos/members/3455.jpg?v=01
106,Patterson,Jared,,https://house.texas.gov/members/member-page/?district=106,https://house.texas.gov/photos/members/3655.jpg?v=01
107,Neave,Victoria,,https://house.texas.gov/members/member-page/?district=107,https://house.texas.gov/photos/members/3235.jpg?v=01
108,Meyer,Morgan,,https://house.texas.gov/members/member-page/?district=108,https://house.texas.gov/photos/members/3075.jpg?v=01
109,Sherman,Carl,Sr.,https://house.texas.gov/members/member-page/?district=109,https://house.texas.gov/photos/members/3675.jpg?v=01
110,Rose,Toni,,https://house.texas.gov/members/member-page/?district=110,https://house.texas.gov/photos/members/2555.jpg?v=01
111,Davis,Yvonne,,https://house.texas.gov/members/member-page/?district=111,https://house.texas.gov/photos/members/2625.jpg?v=01
112,Button,Angie,Chen,https://house.texas.gov/members/member-page/?district=112,https://house.texas.gov/photos/members/2510.jpg?v=01
113,Bowers,Rhetta,,https://house.texas.gov/members/member-page/?district=113,https://house.texas.gov/photos/members/3565.jpg?v=01
114,Turner,John,,https://house.texas.gov/members/member-page/?district=114,https://house.texas.gov/photos/members/3810.jpg?v=01
115,Johnson,Julie,,https://house.texas.gov/members/member-page/?district=115,https://house.texas.gov/photos/members/3770.jpg?v=01
116,Martinez,"Fischer,",Trey,https://house.texas.gov/members/member-page/?district=116,https://house.texas.gov/photos/members/2835.jpg?v=01
117,Cortez,Philip,,https://house.texas.gov/members/member-page/?district=117,https://house.texas.gov/photos/members/2365.jpg?v=01
118,Lujan,John,,https://house.texas.gov/members/member-page/?district=118,https://house.texas.gov/photos/members/3145.jpg?v=01
119,Campos,Elizabeth,"""Liz""",https://house.texas.gov/members/member-page/?district=119,https://house.texas.gov/photos/members/3950.jpg?v=01
120,Gervin-Hawkins,Barbara,,https://house.texas.gov/members/member-page/?district=120,https://house.texas.gov/photos/members/3445.jpg?v=01
121,Allison,Steve,,https://house.texas.gov/members/member-page/?district=121,https://house.texas.gov/photos/members/3800.jpg?v=01
122,Larson,Lyle,,https://house.texas.gov/members/member-page/?district=122,https://house.texas.gov/photos/members/2245.jpg?v=01
123,Bernal,Diego,M.,https://house.texas.gov/members/member-page/?district=123,https://house.texas.gov/photos/members/3110.jpg?v=01
124,Minjarez,Ina,,https://house.texas.gov/members/member-page/?district=124,https://house.texas.gov/photos/members/3135.jpg?v=01
125,Lopez,Ray,,https://house.texas.gov/members/member-page/?district=125,https://house.texas.gov/photos/members/3915.jpg?v=01
126,Harless,Sam,,https://house.texas.gov/members/member-page/?district=126,https://house.texas.gov/photos/members/3775.jpg?v=01
127,Huberty,Dan,,https://house.texas.gov/members/member-page/?district=127,https://house.texas.gov/photos/members/2285.jpg?v=01
128,Cain,Briscoe,,https://house.texas.gov/members/member-page/?district=128,https://house.texas.gov/photos/members/3265.jpg?v=01
129,Paul,Dennis,,https://house.texas.gov/members/member-page/?district=129,https://house.texas.gov/photos/members/3090.jpg?v=01
130,Oliverson,Tom,,https://house.texas.gov/members/member-page/?district=130,https://house.texas.gov/photos/members/3535.jpg?v=01
131,Allen,Alma,A.,https://house.texas.gov/members/member-page/?district=131,https://house.texas.gov/photos/members/2100.jpg?v=01
132,Schofield,Mike,,https://house.texas.gov/members/member-page/?district=132,https://house.texas.gov/photos/members/3095.jpg?v=01
133,Murphy,Jim,,https://house.texas.gov/members/member-page/?district=133,https://house.texas.gov/photos/members/3875.jpg?v=01
134,Johnson,Ann,,https://house.texas.gov/members/member-page/?district=134,https://house.texas.gov/photos/members/3985.jpg?v=01
135,Rosenthal,Jon,,https://house.texas.gov/members/member-page/?district=135,https://house.texas.gov/photos/members/3635.jpg?v=01
136,Bucy,John,III,https://house.texas.gov/members/member-page/?district=136,https://house.texas.gov/photos/members/3595.jpg?v=01
137,Wu,Gene,,https://house.texas.gov/members/member-page/?district=137,https://house.texas.gov/photos/members/2865.jpg?v=01
138,Hull,Lacey,,https://house.texas.gov/members/member-page/?district=138,https://house.texas.gov/photos/members/3975.jpg?v=01
139,Johnson,Jarvis,,https://house.texas.gov/members/member-page/?district=139,https://house.texas.gov/photos/members/3185.jpg?v=01
140,Walle,Armando,,https://house.texas.gov/members/member-page/?district=140,https://house.texas.gov/photos/members/4930.jpg?v=01
141,Thompson,Senfronia,,https://house.texas.gov/members/member-page/?district=141,https://house.texas.gov/photos/members/4630.jpg?v=01
142,Dutton,"Jr.,",Harold V.,https://house.texas.gov/members/member-page/?district=142,https://house.texas.gov/photos/members/2650.jpg?v=01
143,Hernandez,Ana,,https://house.texas.gov/members/member-page/?district=143,https://house.texas.gov/photos/members/3155.jpg?v=01
144,Perez,Mary,Ann,https://house.texas.gov/members/member-page/?district=144,https://house.texas.gov/photos/members/2535.jpg?v=01
145,Morales,Christina,,https://house.texas.gov/members/member-page/?district=145,https://house.texas.gov/photos/members/3910.jpg?v=01
146,Thierry,Shawn,,https://house.texas.gov/members/member-page/?district=146,https://house.texas.gov/photos/members/3390.jpg?v=01
147,Jones,Jolanda,,https://house.texas.gov/members/member-page/?district=147,https://house.texas.gov/photos/members/4105.jpg?v=01
148,Morales,"Shaw,",Penny,https://house.texas.gov/members/member-page/?district=148,https://house.texas.gov/photos/members/4035.jpg?v=01
149,Vo,Hubert,,https://house.texas.gov/members/member-page/?district=149,https://house.texas.gov/photos/members/4900.jpg?v=01
150,Swanson,Valoree,,https://house.texas.gov/members/member-page/?district=150,https://house.texas.gov/photos/members/3425.jpg?v=01
